や,ま,た,か,み,ふ,り,く,る,き,り,に,む,す,は,れ,て,な,く,う,く,ひ,す,の,こ,ゑ,ま,れ,ら,な,り
は,る,た,た,は,わ,か,な,つ,ま,む,と,し,め,し,の,に,き,の,ふ,も,け,ふ,も,ゆ,き,は,ふ,り,つ,つ
わ,か,せ,こ,に,み,せ,む,と,お,も,ひ,し,う,め,の,は,な,そ,れ,と,も,み,え,す,ゆ,き,の,ふ,れ,れ,は
う,く,ひ,す,の,な,き,つ,る,こ,ゑ,に,さ,そ,は,れ,て,は,な,の,も,と,に,そ,わ,れ,は,き,に,け,る
し,つ,か,な,る,か,き,ね,も,と,め,て,い,つ,く,わ,か,は,る,の,あ,り,か,を,と,も,に,も,と,め,む
は,な,の,え,を,を,り,つ,る,か,ら,に,ち,り,ま,か,ふ,に,ほ,ひ,に,あ,か,す,お,も,ほ,ゆ,る,か,な
か,み,さ,ひ,て,ふ,り,に,し,さ,と,に,す,む,ひ,と,は,み,や,こ,に,に,ほ,ふ,は,な,を,た,に,み,す
は,る,を,み,て,か,へ,ら,む,こ,と,を,わ,す,る,る,は,こ,た,か,き,か,け,に,よ,り,て,な,り,け,り
と,し,つ,き,に,ま,さ,る,と,し,な,し,と,お,も,へ,は,や,は,る,し,も,つ,ね,に,す,く,な,か,る,ら,む
あ,か,て,の,み,す,き,ゆ,く,は,る,を,い,か,て,か,は,こ,こ,ろ,に,い,れ,て,を,し,ま,さ,る,へ,き
か,ね,て,よ,り,わ,か,れ,を,し,み,し,は,る,は,た,た,あ,け,む,あ,し,た,そ,か,き,り,な,り,け,る
は,る,と,の,み,と,こ,ろ,と,こ,ろ,に,を,し,め,と,も,み,な,お,な,し,い,ろ,に,す,き,ぬ,る,か,う,き
は,る,は,る,と,あ,ひ,て,お,い,ぬ,る,み,な,れ,は,や,さ,ら,に,な,み,た,の,な,か,れ,さ,る,ら,む
い,ま,は,は,や,か,へ,り,き,な,ま,し,ふ,ち,の,は,な,み,き,と,せ,し,ま,に,と,し,そ,へ,に,け,る
こ,つ,た,ひ,し,み,と,り,の,い,と,の,よ,り,け,れ,は,う,く,ひ,す,と,む,る,ち,か,ら,な,き,か,な
は,な,を,の,み,た,つ,ね,こ,し,ま,に,は,る,は,た,た,ふ,か,さ,あ,さ,さ,も,し,ら,れ,さ,り,け,り
は,か,な,く,て,そ,ら,な,る,か,せ,の,と,し,を,へ,て,は,る,ふ,き,お,も,る,こ,と,そ,あ,や,し,き
あ,た,ら,し,き,は,る,の,や,ま,へ,の,は,な,の,み,そ,と,こ,ろ,も,わ,か,す,さ,き,に,け,る,か,な
あ,と,た,え,て,し,つ,け,き,や,と,に,さ,く,ら,は,な,ち,り,は,つ,る,ま,て,み,る,ひ,と,も,な,し
と,し,ふ,か,く,お,い,ぬ,る,ひ,と,の,か,な,し,き,は,さ,け,る,は,な,を,も,た,と,る,な,り,け,り
ち,か,か,ら,ぬ,と,き,に,ひ,と,た,ひ,わ,か,る,れ,は,と,し,の,み,と,せ,に,へ,た,た,り,に,け,る
わ,か,れ,に,し,き,み,か,み,を,す,て,い,た,つ,ら,に,か,た,ち,の,か,は,る,み,こ,そ,つ,ら,け,れ,る
し,ら,く,も,は,わ,か,る,る,こ,と,に,た,ち,ぬ,れ,と,き,み,と,も,に,こ,そ,ゆ,き,か,く,れ,ぬ,れ
わ,か,れ,て,の,の,ち,も,あ,ひ,み,む,と,ほ,く,と,て,こ,れ,を,い,つ,れ,の,と,き,と,か,は,し,る
ふ,た,つ,と,て,み,え,ぬ,に,つ,き,の,や,ま,こ,と,に,て,り,わ,た,り,つ,つ,あ,き,ら,け,き,か,な
あ,つ,か,ら,す,さ,む,く,も,あ,ら,す,よ,き,ほ,と,に,ふ,き,く,る,か,せ,の,や,ま,す,も,あ,ら,な,む
く,も,り,な,く,た,き,は,や,ま,さ,へ,は,れ,ゆ,け,は,み,つ,の,い,ろ,さ,へ,あ,ら,た,ま,り,ゆ,く
し,ら,く,も,の,な,か,を,や,り,つ,つ,ゆ,く,み,つ,の,め,て,た,き,こ,と,は,や,ま,に,そ,あ,り,け,る
ひ,と,り,し,て,く,も,の,か,け,は,し,こ,え,ゆ,か,む,い,つ,こ,の,か,た,か,や,ま,は,さ,か,し,き
ゆ,く,み,つ,の,あ,を,き,や,ま,よ,り,お,ち,く,れ,は,し,ら,く,も,た,つ,と,み,そ,ま,か,へ,つ,る
お,き,つ,よ,り,ふ,き,く,る,か,せ,は,し,ら,な,み,の,は,な,と,の,み,こ,そ,み,え,わ,た,り,け,れ
わ,ひ,て,ゆ,く,や,と,は,ひ,か,り,の,く,れ,ゆ,け,は,ふ,く,か,せ,の,み,そ,と,さ,し,な,り,け,る
よ,そ,に,て,も,は,な,を,あ,は,れ,と,み,る,か,ら,に,し,ら,ぬ,や,ま,へ,に,ま,つ,い,り,に,け,り
さ,し,わ,か,て,ふ,か,く,あ,は,れ,と,み,え,け,れ,は,は,れ,て,し,つ,け,き,と,こ,ろ,な,り,け,り
か,け,し,け,き,み,つ,の,あ,た,り,に,と,し,を,へ,て,す,き,に,け,れ,と,も,あ,は,れ,な,る,か,な
ふ,く,か,せ,の,ひ,か,り,を,と,は,と,お,も,へ,は,そ,し,は,し,も,こ,こ,に,あ,そ,ふ,へ,ら,な,る
あ,や,し,く,も,と,し,を,な,か,ら,へ,ひ,と,り,し,て,あ,く,か,れ,わ,た,る,み,と,や,な,り,な,む
あ,ま,つ,そ,ら,た,か,く,は,れ,つ,つ,み,え,つ,る,は,く,れ,ゆ,く,や,ま,も,と,ほ,く,そ,あ,り,け,る
や,と,こ,と,に,は,な,の,に,し,き,を,お,れ,れ,は,そ,み,る,に,こ,こ,ろ,の,や,す,き,と,き,か,な
た,に,み,つ,の,こ,と,の,ね,た,え,す,あ,し,ゆ,れ,は,と,き,の,ま,に,た,る,ふ,た,た,す,そ,き,く
な,く,な,み,た,ふ,る,た,も,と,に,し,う,つ,り,て,は,く,れ,な,ゐ,ふ,か,き,や,と,と,こ,そ,み,れ
わ,か,る,と,き,い,ひ,つ,る,と,し,の,は,る,け,き,は,ち,か,き,を,み,る,そ,わ,ひ,し,か,り,け,る
あ,は,れ,と,も,わ,か,み,の,み,こ,そ,お,も,ほ,ゆ,れ,は,か,な,き,は,る,を,す,く,し,き,ぬ,れ,は
ひ,と,と,せ,に,ま,た,ふ,た,た,ひ,も,こ,し,も,の,を,た,た,ひ,る,な,か,に,は,る,は,の,こ,れ,る
う,く,ひ,す,は,す,き,に,し,は,る,を,を,し,み,つ,つ,な,く,こ,ゑ,お,ほ,き,こ,ろ,に,も,あ,る,か,な
